Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Liu, Ying; Zaffalon, Matteo L; Zito, Juliette; Cova, Francesca; Moro, Fabrizio; Fanciulli, Marco; Zhu, Dongxu; Toso, Stefano; Xia, Zhiguo; Infante, Ivan; ","Cu+→ Mn2+ energy transfer in Cu, Mn coalloyed Cs3ZnCl5 colloidal nanocrystals",Chemistry of Materials,34,19,8603-8612,2022,American Chemical Society
"Liu, Zheming; Zito, Juliette; Ghini, Michele; Goldoni, Luca; Prato, Mirko; Bahmani Jalali, Houman; Infante, Ivan; De Trizio, Luca; Manna, Liberato; ",Alloying Bi-Doped Cs2Ag1–x Na x InCl6 Nanocrystals with K+ Cations Modulates Surface Ligands Density and Photoluminescence Efficiency,Nano Letters,22,21,8567-8573,2022,American Chemical Society
"Ray, Aniruddha; De Trizio, Luca; Zito, Juliette; Infante, Ivan; Manna, Liberato; Abdelhady, Ahmed L; ",Light Emission from Low‐Dimensional Pb‐Free Perovskite‐Related Metal Halide Nanocrystals,Advanced Optical Materials,,,2202005,2022,
"Zhu, Dongxu; Bahmani Jalali, Houman; Saleh, Gabriele; Di Stasio, Francesco; Prato, Mirko; Polykarpou, Nefeli; Othonos, Andreas; Christodoulou, Sotirios; Ivanov, Yurii P; Divitini, Giorgio; ",Boosting the Photoluminescence Efficiency of InAs Nanocrystals Synthesized with Aminoarsine via a ZnSe Thick‐Shell Overgrowth,Advanced Materials,35,38,2303621,2023,
"De Trizio, Luca; Infante, Ivan; Manna, Liberato; ",Surface chemistry of lead halide perovskite colloidal nanocrystals,Accounts of Chemical Research,56,13,1815-1825,2023,American Chemical Society
"Zuo, Yong; Bellani, Sebastiano; Ferri, Michele; Saleh, Gabriele; Shinde, Dipak V; Zappia, Marilena Isabella; Brescia, Rosaria; Prato, Mirko; De Trizio, Luca; Infante, Ivan; ",High-performance alkaline water electrolyzers based on Ru-perturbed Cu nanoplatelets cathode,Nature Communications,14,1,4680,2023,Nature Publishing Group UK London
"Zuo, Yong; Bellani, Sebastiano; Saleh, Gabriele; Ferri, Michele; Shinde, Dipak V; Zappia, Marilena Isabella; Buha, Joka; Brescia, Rosaria; Prato, Mirko; Pascazio, Roberta; ",Ru–Cu nanoheterostructures for efficient hydrogen evolution reaction in alkaline water electrolyzers,Journal of the American Chemical Society,145,39,21419-21431,2023,American Chemical Society
"López‐Fernández, Iago; Valli, Donato; Wang, Chun‐Yun; Samanta, Subarna; Okamoto, Takuya; Huang, Yi‐Teng; Sun, Kun; Liu, Yang; Chirvony, Vladimir S; Patra, Avijit; ",Lead‐free halide perovskite materials and optoelectronic devices: progress and prospective,Advanced Functional Materials,34,6,2307896,2024,
"Quarta, Danila; Toso, Stefano; Fieramosca, Antonio; Dominici, Lorenzo; Caliandro, Rocco; Moliterni, Anna; Tobaldi, David Maria; Saleh, Gabriele; Gushchina, Irina; Brescia, Rosaria; ",Direct band gap chalcohalide semiconductors: Quaternary AgBiSCl2 nanocrystals,Chemistry of Materials,35,23,9900-9906,2023,American Chemical Society
"Llusar, Jordi; du Fossé, Indy; Hens, Zeger; Houtepen, Arjan; Infante, Ivan; ",Surface reconstructions in II–VI quantum dots,ACS nano,18,2,1563-1572,2024,American Chemical Society
"Erroi, Andrea; Carulli, Francesco; Cova, Francesca; Frank, Isabel; Zaffalon, Matteo L; Llusar, Jordi; Mecca, Sara; Cemmi, Alessia; Di Sarcina, Ilaria; Rossi, Francesca; ",Ultrafast nanocomposite scintillators based on Cd-enhanced CsPbCl3 nanocrystals in polymer matrix,ACS Energy Letters,9,5,2333-2342,2024,American Chemical Society
"Houtepen, AJ; Sargent, EH; Infante, Ivan; Owen, JS; Green, PB; Schaller, RD; Bals, Sara; Zeiske, Stefan; Stöferle, Thilo; Hens, Zeger; ",Colloidal quantum dots for optoelectronics,Nature Reviews Methods Primers,5,1,42,2025,Nature Publishing Group UK London
"Ibáñez, Maria; Boehme, Simon C; Buonsanti, Raffaella; De Roo, Jonathan; Milliron, Delia J; Ithurria, Sandrine; Rogach, Andrey L; Cabot, Andreu; Yarema, Maksym; Cossairt, Brandi M; ",Prospects of Nanoscience with Nanocrystals: 2025 Edition,ACS nano,19,36,31969-32051,2025,American Chemical Society
