Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Boehme, Simon C; Walvis, T Ardaan; Infante, Ivan; Grozema, Ferdinand C; Vanmaekelbergh, Daniël; Siebbeles, Laurens DA; Houtepen, Arjan J; ",Electrochemical control over photoinduced electron transfer and trapping in CdSe-CdTe quantum-dot solids,ACS nano,8,7,7067-7077,2014,American Chemical Society
"Sandeep, CS Suchand; Azpiroz, Jon Mikel; Evers, Wiel H; Boehme, Simon C; Moreels, Iwan; Kinge, Sachin; Siebbeles, Laurens DA; Infante, Ivan; Houtepen, Arjan J; ",Epitaxially connected PbSe quantum-dot films: Controlled neck formation and optoelectronic properties,ACS nano,8,11,11499-11511,2014,American Chemical Society
"Grande-Aztatzi, Rafael; Cabellos, José Luis; Islas, Rafael; Infante, Ivan; Mercero, José M; Restrepo, Albeiro; Merino, Gabriel; ",Planar pentacoordinate carbons in CBe 5 4− derivatives,Physical Chemistry Chemical Physics,17,6,4620-4624,2015,Royal Society of Chemistry
"Giansante, Carlo; Infante, Ivan; Fabiano, Eduardo; Grisorio, Roberto; Suranna, Gian Paolo; Gigli, Giuseppe; ",“Darker-than-Black” PbS quantum dots: enhancing optical absorption of colloidal semiconductor nanocrystals via short conjugated ligands,Journal of the American Chemical Society,137,5,1875-1886,2015,American Chemical Society
"Kovacs, Attila; Konings, Rudy JM; Gibson, John K; Infante, Ivan; Gagliardi, Laura; ",Quantum chemical calculations and experimental investigations of molecular actinide oxides,Chemical Reviews,115,4,1725-1759,2015,American Chemical Society
"Boehme, Simon C; Azpiroz, Jon Mikel; Aulin, Yaroslav V; Grozema, Ferdinand C; Vanmaekelbergh, Daniël; Siebbeles, Laurens DA; Infante, Ivan; Houtepen, Arjan J; ",Density of trap states and Auger-mediated electron trapping in CdTe quantum-dot solids,Nano Letters,15,5,3056-3066,2015,American Chemical Society
"Walravens, Willem; De Roo, Jonathan; Drijvers, Emile; Ten Brinck, Stephanie; Solano, Eduardo; Dendooven, Jolien; Detavernier, Christophe; Infante, Ivan; Hens, Zeger; ",Chemically triggered formation of two-dimensional epitaxial quantum dot superlattices,ACS nano,10,7,6861-6870,2016,American Chemical Society
"ten Brinck, Stephanie; Infante, Ivan; ","Surface termination, morphology, and bright photoluminescence of cesium lead halide perovskite nanocrystals",ACS Energy Letters,1,6,1266-1272,2016,American Chemical Society
"Houtepen, Arjan J; Hens, Zeger; Owen, Jonathan S; Infante, Ivan; ",On the origin of surface traps in colloidal II–VI semiconductor nanocrystals,Chemistry of Materials,29,2,752-761,2017,American Chemical Society
"Debellis, Doriana; Gigli, Giuseppe; Ten Brinck, Stephanie; Infante, Ivan; Giansante, Carlo; ",Quantum-confined and enhanced optical absorption of colloidal PbS quantum dots at wavelengths with expected bulk behavior,Nano letters,17,2,1248-1254,2017,American Chemical Society
